Município,Renda média domic. per capita,Ano
110001 ALTA FLORESTA D'OESTE,"130,51",1991
110002 ARIQUEMES,"213,95",1991
110003 CABIXI,"103,77",1991
110004 CACOAL,"258,77",1991
110005 CEREJEIRAS,"182,07",1991
110006 COLORADO DO OESTE,"142,66",1991
110008 COSTA MARQUES,"193,67",1991
110009 ESPIGAO D'OESTE,"202,34",1991
110010 GUAJARA-MIRIM,"302,19",1991
110011 JARU,"176,84",1991
110012 JI-PARANA,"247,1",1991
110013 MACHADINHO D'OESTE,"184,17",1991
110014 NOVA BRASILANDIA D'OESTE,"98,73",1991
110015 OURO PRETO DO OESTE,"163,18",1991
110018 PIMENTA BUENO,"207,33",1991
110020 PORTO VELHO,"362,26",1991
110025 PRESIDENTE MEDICI,"147,69",1991
110028 ROLIM DE MOURA,"165,21",1991
110029 SANTA LUZIA D'OESTE,"91,36",1991
110030 VILHENA,"352,11",1991
110032 SAO MIGUEL DO GUAPORE,"96,72",1991
110033 NOVA MAMORE,"153,95",1991
110034 ALVORADA D'OESTE,"110,91",1991
120005 ASSIS BRASIL,"161,85",1991
120010 BRASILEIA,"160,48",1991
120020 CRUZEIRO DO SUL,"131,97",1991
120030 FEIJO,"117,76",1991
120033 MANCIO LIMA,"84,69",1991
120034 MANOEL URBANO,95,1991
120038 PLACIDO DE CASTRO,"123,64",1991
120040 RIO BRANCO,"325,06",1991
120045 SENADOR GUIOMARD,"175,14",1991
120050 SENA MADUREIRA,"131,32",1991
120060 TARAUACA,"102,25",1991
120070 XAPURI,"143,45",1991
130002 ALVARAES,"150,47",1991
130006 AMATURA,"81,02",1991
130008 ANAMA,"151,46",1991
130010 ANORI,"128,57",1991
130014 APUI,"189,78",1991
130020 ATALAIA DO NORTE,"135,41",1991
130030 AUTAZES,"154,51",1991
130040 BARCELOS,"153,35",1991
130050 BARREIRINHA,"108,78",1991
130060 BENJAMIN CONSTANT,"205,44",1991
130063 BERURI,"84,83",1991
130068 BOA VISTA DO RAMOS,"99,79",1991
130070 BOCA DO ACRE,"124,32",1991
130080 BORBA,"127,77",1991
130083 CAAPIRANGA,"122,77",1991
130090 CANUTAMA,"102,23",1991
130100 CARAUARI,"117,25",1991
130110 CAREIRO,"198,41",1991
130115 CAREIRO DA VARZEA,"130,05",1991
130120 COARI,"111,1",1991
130130 CODAJAS,"158,57",1991
130140 EIRUNEPE,"80,16",1991
130150 ENVIRA,"75,24",1991
130160 FONTE BOA,"116,65",1991
130165 GUAJARA,"100,75",1991
130170 HUMAITA,"129,16",1991
130180 IPIXUNA,"53,98",1991
130185 IRANDUBA,"157,5",1991
130190 ITACOATIARA,"169,07",1991
