"Município";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Sem declaração";"Total"
"110001 ALTA FLORESTA D'OESTE";572,48;350,62;331,75;401,14;138,62;...;467,72
"110002 ARIQUEMES";840,37;510,71;1774,41;544,13;950,80;...;672,87
"110003 CABIXI";572,34;284,97;301,07;348,77;466,67;...;446,58
"110004 CACOAL";948,41;511,94;1098,53;561,63;116,32;...;718,79
"110005 CEREJEIRAS";678,13;522,31;669,36;425,18;882,50;...;553,47
"110006 COLORADO DO OESTE";602,60;376,71;641,51;442,33;319,99;...;507,70
"110007 CORUMBIARA";439,61;415,97;414,43;371,09;300,00;...;401,70
"110008 COSTA MARQUES";418,53;399,95;696,66;313,06;222,62;...;352,67
"110009 ESPIGAO D'OESTE";639,35;425,67;638,90;532,76;77,97;...;572,48
"110010 GUAJARA-MIRIM";671,28;499,91;363,25;463,33;95,93;...;475,62
"110011 JARU";715,95;426,95;525,44;485,13;200,95;...;557,06
"110012 JI-PARANA";916,71;564,44;871,39;578,03;146,86;...;710,25
"110013 MACHADINHO D'OESTE";470,78;327,63;453,77;364,28;270,95;...;395,12
"110014 NOVA BRASILANDIA D'OESTE";556,63;510,19;436,07;439,08;270,77;...;489,27
"110015 OURO PRETO DO OESTE";727,18;454,92;615,26;474,39;323,63;...;563,31
"110018 PIMENTA BUENO";840,21;519,47;664,11;658,64;172,97;...;720,94
"110020 PORTO VELHO";1246,48;761,44;936,52;725,33;265,35;298,89;881,25
"110025 PRESIDENTE MEDICI";632,31;377,09;640,75;443,88;150,00;...;517,83
"110026 RIO CRESPO";513,25;520,26;949,17;319,84;140,00;...;419,26
"110028 ROLIM DE MOURA";750,39;590,95;950,23;539,01;691,68;...;632,16
"110029 SANTA LUZIA D'OESTE";518,93;447,19;387,05;446,47;613,52;...;470,99
"110030 VILHENA";964,00;579,52;3056,04;560,21;320,71;...;759,55
"110032 SAO MIGUEL DO GUAPORE";479,89;406,86;648,15;396,12;419,42;...;431,45
"110033 NOVA MAMORE";400,30;362,29;507,42;354,71;120,36;...;366,91
"110034 ALVORADA D'OESTE";612,83;314,03;454,25;386,64;1791,84;...;465,00
