"Município";"Renda média domic. per capita"
"110001 ALTA FLORESTA D'OESTE";130,51
"110002 ARIQUEMES";213,95
"110003 CABIXI";103,77
"110004 CACOAL";258,77
"110005 CEREJEIRAS";182,07
"110006 COLORADO DO OESTE";142,66
"110008 COSTA MARQUES";193,67
"110009 ESPIGAO D'OESTE";202,34
"110010 GUAJARA-MIRIM";302,19
"110011 JARU";176,84
"110012 JI-PARANA";247,10
"110013 MACHADINHO D'OESTE";184,17
"110014 NOVA BRASILANDIA D'OESTE";98,73
"110015 OURO PRETO DO OESTE";163,18
"110018 PIMENTA BUENO";207,33
"110020 PORTO VELHO";362,26
"110025 PRESIDENTE MEDICI";147,69
"110028 ROLIM DE MOURA";165,21
"110029 SANTA LUZIA D'OESTE";91,36
"110030 VILHENA";352,11
"110032 SAO MIGUEL DO GUAPORE";96,72
"110033 NOVA MAMORE";153,95
"110034 ALVORADA D'OESTE";110,91
"120005 ASSIS BRASIL";161,85
"120010 BRASILEIA";160,48
"120020 CRUZEIRO DO SUL";131,97
"120030 FEIJO";117,76
"120033 MANCIO LIMA";84,69
"120034 MANOEL URBANO";95,00
"120038 PLACIDO DE CASTRO";123,64
"120040 RIO BRANCO";325,06
"120045 SENADOR GUIOMARD";175,14
"120050 SENA MADUREIRA";131,32
"120060 TARAUACA";102,25
"120070 XAPURI";143,45
"130002 ALVARAES";150,47
"130006 AMATURA";81,02
"130008 ANAMA";151,46
"130010 ANORI";128,57
"130014 APUI";189,78
"130020 ATALAIA DO NORTE";135,41
"130030 AUTAZES";154,51
"130040 BARCELOS";153,35
"130050 BARREIRINHA";108,78
"130060 BENJAMIN CONSTANT";205,44
"130063 BERURI";84,83
"130068 BOA VISTA DO RAMOS";99,79
"130070 BOCA DO ACRE";124,32
"130080 BORBA";127,77
"130083 CAAPIRANGA";122,77
"130090 CANUTAMA";102,23
"130100 CARAUARI";117,25
"130110 CAREIRO";198,41
"130115 CAREIRO DA VARZEA";130,05
"130120 COARI";111,10
"130130 CODAJAS";158,57
"130140 EIRUNEPE";80,16
"130150 ENVIRA";75,24
"130160 FONTE BOA";116,65
"130165 GUAJARA";100,75
"130170 HUMAITA";129,16
"130180 IPIXUNA";53,98
"130185 IRANDUBA";157,50
"130190 ITACOATIARA";169,07
"130195 ITAMARATI";127,07
"130200 ITAPIRANGA";133,18
"130210 JAPURA";122,68
"130220 JURUA";86,97
"130230 JUTAI";111,59
"130240 LABREA";116,77
"130250 MANACAPURU";146,86
"130255 MANAQUIRI";144,48
"130260 MANAUS";413,31
"130270 MANICORE";120,59
"130280 MARAA";97,48
"130290 MAUES";197,81
"130300 NHAMUNDA";109,25
"130310 NOVA OLINDA DO NORTE";135,00
"130320 NOVO AIRAO";112,22
"130330 NOVO ARIPUANA";149,12
"130340 PARINTINS";160,76
"130350 PAUINI";138,90
"130353 PRESIDENTE FIGUEIREDO";310,47
"130356 RIO PRETO DA EVA";172,42
"130360 SANTA ISABEL DO RIO NEGRO";75,91
"130370 SANTO ANTONIO DO ICA";105,69
"130380 SAO GABRIEL DA CACHOEIRA";185,10
"130390 SAO PAULO DE OLIVENCA";60,68
"130395 SAO SEBASTIAO DO UATUMA";230,94
"130400 SILVES";163,55
"130406 TABATINGA";149,26
"130410 TAPAUA";63,47
"130420 TEFE";160,48
"130423 TONANTINS";83,40
"130426 UARINI";184,51
"130430 URUCARA";159,02
"130440 URUCURITUBA";65,11
"140005 ALTO ALEGRE";153,21
"140010 BOA VISTA";426,25
"140015 BONFIM";168,55
"140020 CARACARAI";268,33
"140030 MUCAJAI";188,76
"140040 NORMANDIA";59,50
"140050 SAO JOAO DA BALIZA";176,39
"140060 SAO LUIZ";189,08
"150010 ABAETETUBA";130,59
"150020 ACARA";177,03
"150030 AFUA";105,84
"150040 ALENQUER";107,32
"150050 ALMEIRIM";233,18
"150060 ALTAMIRA";212,82
"150070 ANAJAS";116,26
"150080 ANANINDEUA";239,89
"150090 AUGUSTO CORREA";73,48
"150100 AVEIRO";79,19
"150110 BAGRE";86,46
"150120 BAIAO";84,37
"150130 BARCARENA";219,48
"150140 BELEM";400,13
"150150 BENEVIDES";130,40
"150157 BOM JESUS DO TOCANTINS";169,48
"150160 BONITO";96,80
"150170 BRAGANCA";107,49
"150175 BREJO GRANDE DO ARAGUAIA";79,48
"150180 BREVES";116,42
"150190 BUJARU";117,52
"150200 CACHOEIRA DO ARARI";107,56
"150210 CAMETA";92,34
"150220 CAPANEMA";186,63
"150230 CAPITAO POCO";98,63
"150240 CASTANHAL";211,59
"150250 CHAVES";93,73
"150260 COLARES";99,12
"150270 CONCEICAO DO ARAGUAIA";157,08
"150275 CONCORDIA DO PARA";165,73
"150277 CURIONOPOLIS";196,99
"150280 CURRALINHO";126,00
"150290 CURUCA";74,90
"150293 DOM ELISEU";182,61
"150300 FARO";84,62
"150307 GARRAFAO DO NORTE";85,74
"150310 GURUPA";94,04
"150320 IGARAPE-ACU";133,76
"150330 IGARAPE-MIRI";110,97
"150340 INHANGAPI";124,01
"150350 IRITUIA";99,99
"150360 ITAITUBA";221,09
"150370 ITUPIRANGA";101,65
"150380 JACUNDA";159,37
"150390 JURUTI";99,76
"150400 LIMOEIRO DO AJURU";100,11
"150405 MAE DO RIO";147,72
"150410 MAGALHAES BARATA";81,94
"150420 MARABA";202,86
"150430 MARACANA";90,57
"150440 MARAPANIM";109,25
"150445 MEDICILANDIA";162,63
"150450 MELGACO";88,97
"150460 MOCAJUBA";107,69
"150470 MOJU";109,75
"150480 MONTE ALEGRE";114,96
"150490 MUANA";97,68
"150500 NOVA TIMBOTEUA";125,78
"150510 OBIDOS";121,97
"150520 OEIRAS DO PARA";118,80
"150530 ORIXIMINA";169,85
"150540 OUREM";92,43
"150543 OURILANDIA DO NORTE";216,80
"150548 PACAJA";84,80
"150550 PARAGOMINAS";198,62
"150553 PARAUAPEBAS";250,61
"150560 PEIXE-BOI";96,91
"150570 PONTA DE PEDRAS";106,98
"150580 PORTEL";109,64
"150590 PORTO DE MOZ";114,68
"150600 PRAINHA";92,97
"150610 PRIMAVERA";77,03
"150613 REDENCAO";209,18
"150616 RIO MARIA";176,84
"150618 RONDON DO PARA";207,45
"150619 RUROPOLIS";83,48
"150620 SALINOPOLIS";127,05
"150630 SALVATERRA";156,97
"150640 SANTA CRUZ DO ARARI";110,42
"150650 SANTA IZABEL DO PARA";180,95
"150658 SANTA MARIA DAS BARREIRAS";220,06
"150660 SANTA MARIA DO PARA";184,93
"150670 SANTANA DO ARAGUAIA";152,14
"150680 SANTAREM";157,82
"150690 SANTAREM NOVO";126,86
"150700 SANTO ANTONIO DO TAUA";117,36
"150710 SAO CAETANO DE ODIVELAS";104,97
"150720 SAO DOMINGOS DO CAPIM";127,33
"150730 SAO FELIX DO XINGU";199,24
"150740 SAO FRANCISCO DO PARA";162,49
"150745 SAO GERALDO DO ARAGUAIA";98,77
"150747 SAO JOAO DE PIRABAS";100,74
"150750 SAO JOAO DO ARAGUAIA";111,95
"150760 SAO MIGUEL DO GUAMA";140,52
"150770 SAO SEBASTIAO DA BOA VISTA";102,80
"150780 SENADOR JOSE PORFIRIO";134,85
"150790 SOURE";161,79
"150795 TAILANDIA";237,64
"150800 TOME-ACU";140,61
"150808 TUCUMA";219,21
"150810 TUCURUI";177,07
"150815 URUARA";151,04
"150820 VIGIA";125,53
"150830 VISEU";84,19
"150840 XINGUARA";268,13
"160010 AMAPA";150,56
"160020 CALCOENE";194,29
"160023 FERREIRA GOMES";108,52
"160027 LARANJAL DO JARI";227,65
"160030 MACAPA";345,74
"160040 MAZAGAO";130,35
"160050 OIAPOQUE";260,04
"160060 SANTANA";218,99
"160070 TARTARUGALZINHO";132,24
"170035 ALIANCA DO TOCANTINS";140,50
"170040 ALMAS";93,40
"170070 ALVORADA";301,77
"170100 ANANAS";104,83
"170110 APARECIDA DO RIO NEGRO";128,34
