Município,Branca,Preta,Amarela,Parda,Indígena,Sem declaração,Total,Ano
110001 ALTA FLORESTA D'OESTE,"154,99","118,44",...,"89,48",-,"41,88","130,51",1991
110002 ARIQUEMES,"269,63","113,14","958,95","178,78","156,75","199,12","213,95",1991
110003 CABIXI,"119,06","72,7",...,"77,1","49,61","155,51","103,77",1991
110004 CACOAL,"317,58","130,16","865,08","195,83","59,85","284,19","258,77",1991
110005 CEREJEIRAS,"235,94","105,49","83,38","125,75","97,31","93,63","182,07",1991
110006 COLORADO DO OESTE,"213,13","80,75","366,67","103,3",...,"155,06","142,66",1991
110008 COSTA MARQUES,"329,69","82,97",...,"127,29","115,88","87,84","193,67",1991
110009 ESPIGAO D'OESTE,"250,45","72,27","298,16","160,01",-,"66,25","202,34",1991
110010 GUAJARA-MIRIM,"419,6","321,44","1160,47","251,1","35,14","185,52","302,19",1991
110011 JARU,"201,54","138,89","159,95","167,75","203,93","129,44","176,84",1991
110012 JI-PARANA,"307,28","150,9","257,3","205,06","4,15","319,23","247,1",1991
110013 MACHADINHO D'OESTE,"197,31","236,18","335,73","169,38",...,"110,45","184,17",1991
110014 NOVA BRASILANDIA D'OESTE,"113,27","74,54","66,34","89,68","95,55","65,33","98,73",1991
110015 OURO PRETO DO OESTE,"175,58","97,7","284,61","156,26","191,23","154,84","163,18",1991
110018 PIMENTA BUENO,"259,91","118,12","133,51","159,76","354,42","100,99","207,33",1991
110020 PORTO VELHO,555,"309,42","527,89","293,25","141,76","293,26","362,26",1991
110025 PRESIDENTE MEDICI,"151,7","88,69",...,"148,76",...,"116,03","147,69",1991
110028 ROLIM DE MOURA,"210,64","100,57","137,26","126,3","90,28","321,32","165,21",1991
110029 SANTA LUZIA D'OESTE,"90,9","76,71","98,59","92,89",...,"69,6","91,36",1991
110030 VILHENA,"436,7","178,55","712,23","256,65","102,48","167,38","352,11",1991
110032 SAO MIGUEL DO GUAPORE,"107,97","92,36",...,"90,51","36,46","23,42","96,72",1991
110033 NOVA MAMORE,"149,38","225,24","263,88","154,35","46,41","107,45","153,95",1991
110034 ALVORADA D'OESTE,"113,88","91,79",...,"109,15",...,"109,56","110,91",1991
120005 ASSIS BRASIL,"190,47",336,...,"158,24","128,75",...,"161,85",1991
120010 BRASILEIA,"283,89","140,46",...,"141,52","18,24",...,"160,48",1991
120020 CRUZEIRO DO SUL,"175,07","114,53","83,07","119,94","37,42",...,"131,97",1991
120030 FEIJO,"138,01","102,37","112,89","111,95","63,04",...,"117,76",1991
120033 MANCIO LIMA,"85,09","107,01","209,63","83,29","100,48",...,"84,69",1991
120034 MANOEL URBANO,"130,86","108,17","50,91","93,84","55,55",...,95,1991
120038 PLACIDO DE CASTRO,"166,01","210,59","326,87","118,79","291,09",...,"123,64",1991
120040 RIO BRANCO,"463,35","174,03","247,6","270,94","667,82",...,"325,06",1991
120045 SENADOR GUIOMARD,"217,5","130,01","274,05","168,79",...,...,"175,14",1991
120050 SENA MADUREIRA,"257,05","99,31",...,"113,96","5,19",...,"131,32",1991
120060 TARAUACA,"110,41","56,56","103,72","108,36","32,38",...,"102,25",1991
120070 XAPURI,"206,87","157,4",...,"129,28",...,...,"143,45",1991
130002 ALVARAES,"83,45","11,17","59,26","153,6","94,88","26,9","150,47",1991
130006 AMATURA,...,"150,55",...,"100,95","27,21","118,34","81,02",1991
130008 ANAMA,"189,75",...,...,"148,55","65,33","289,38","151,46",1991
130010 ANORI,"267,51","257,83",...,"119,05","107,53","149,35","128,57",1991
130014 APUI,"190,68","232,65",...,"185,14","147,31","146,06","189,78",1991
130020 ATALAIA DO NORTE,"327,6","76,25","16,81","114,94","59,83","171,55","135,41",1991
130030 AUTAZES,"514,63","53,89","135,76","127,55","28,16","169,17","154,51",1991
130040 BARCELOS,"294,07","181,98","145,11","147,3","125,09","131,41","153,35",1991
130050 BARREIRINHA,"177,34",...,...,"104,64","132,03","82,71","108,78",1991
130060 BENJAMIN CONSTANT,"336,95","432,35",...,"197,07","15,68","313,16","205,44",1991
130063 BERURI,"127,95","81,95",...,"81,49","88,03",...,"84,83",1991
130068 BOA VISTA DO RAMOS,"118,52",...,"27,84","99,85",...,"85,25","99,79",1991
130070 BOCA DO ACRE,"204,48","142,25","58,96","110,63","41,07","118,79","124,32",1991
130080 BORBA,"228,44","50,18",...,"124,12","59,03","56,88","127,77",1991
130083 CAAPIRANGA,"128,2","96,03",...,"122,39",...,...,"122,77",1991
130090 CANUTAMA,"125,12","85,08",...,"95,05","17,38","140,1","102,23",1991
130100 CARAUARI,"237,35","131,64",...,"87,78","15,06","428,09","117,25",1991
130110 CAREIRO,"205,37","167,86","119,85","198,99","496,16","77,6","198,41",1991
130115 CAREIRO DA VARZEA,"153,9","103,03","294,22","120,21","30,85","268,61","130,05",1991
130120 COARI,"278,68","137,14","490,15","99,22","112,98","96,77","111,1",1991
130130 CODAJAS,"87,56","333,35",...,"143,36",...,"46,64","158,57",1991
130140 EIRUNEPE,"116,19","56,39","58,78","78,48","0,33","61,05","80,16",1991
130150 ENVIRA,"76,94","66,63","95,78","75,81","53,32","119,89","75,24",1991
130160 FONTE BOA,"112,19","125,5",...,"116,58",109,"272,93","116,65",1991
130165 GUAJARA,"111,09","83,14","51,55","94,52","197,91","143,3","100,75",1991
130170 HUMAITA,"243,43","169,97","79,98","103,74","49,44","129,84","129,16",1991
130180 IPIXUNA,"71,82","40,57","27,46","44,88","2,15","36,43","53,98",1991
130185 IRANDUBA,"195,99","89,82","303,53","152,49","30,61","68,7","157,5",1991
130190 ITACOATIARA,"264,51","302,82","157,63","148,43","194,46","261,12","169,07",1991
130195 ITAMARATI,"87,07","100,24",...,"130,64","152,94","196,31","127,07",1991
130200 ITAPIRANGA,"122,6","138,58",...,"133,13",...,...,"133,18",1991
130210 JAPURA,"162,11","160,83","64,25","123,02","98,48","226,56","122,68",1991
130220 JURUA,"119,95","89,24","36,21","82,52",...,"118,8","86,97",1991
130230 JUTAI,"270,16","40,85","76,15","115,19","33,54","198,07","111,59",1991
130240 LABREA,"238,2","43,66","32,18","116,31","25,22","36,5","116,77",1991
130250 MANACAPURU,"209,03","82,45","47,6","138,21","91,64","510,52","146,86",1991
130255 MANAQUIRI,"252,59","30,69","158,21","131,47","146,44","128,84","144,48",1991
130260 MANAUS,"608,29","366,7","1202,39","348,9","251,83","536,69","413,31",1991
130270 MANICORE,"198,12","109,33","111,82","116,67","75,9","23,41","120,59",1991
130280 MARAA,"64,07","120,21",...,"97,77","76,82","46,72","97,48",1991
130290 MAUES,"390,1","215,68","142,57","176,09","34,81","45,95","197,81",1991
130300 NHAMUNDA,"119,38","117,58",...,"108,06","109,04","48,02","109,25",1991
130310 NOVA OLINDA DO NORTE,"324,89","176,15",...,"125,06","98,81","123,78",135,1991
130320 NOVO AIRAO,"309,08","140,09",...,"104,64","64,73","152,29","112,22",1991
130330 NOVO ARIPUANA,"521,33","193,61",...,"135,77","117,24","97,89","149,12",1991
130340 PARINTINS,"290,33","169,63","3083,33","137,82","120,67","137,37","160,76",1991
130350 PAUINI,"161,24","88,3","240,5","139,3","132,27","112,88","138,9",1991
130353 PRESIDENTE FIGUEIREDO,"360,61","81,48",...,"302,42",...,"175,14","310,47",1991
130356 RIO PRETO DA EVA,"285,09","235,19","907,55","168,47","93,52","663,41","172,42",1991
130360 SANTA ISABEL DO RIO NEGRO,"66,41",...,"42,32","96,59","50,12","78,57","75,91",1991
130370 SANTO ANTONIO DO ICA,"360,36","34,83","148,84","107,63","47,56","3742,38","105,69",1991
130380 SAO GABRIEL DA CACHOEIRA,"525,02","1644,19",...,"355,62","103,2","79,1","185,1",1991
130390 SAO PAULO DE OLIVENCA,"145,2",...,...,"75,96","29,34","51,39","60,68",1991
130395 SAO SEBASTIAO DO UATUMA,"268,22",...,...,"227,83",...,"59,4","230,94",1991
130400 SILVES,"255,45","57,18","325,9","148,41",...,"111,47","163,55",1991
130406 TABATINGA,"206,84","148,11","100,65","174,1","59,69","142,59","149,26",1991
130410 TAPAUA,"76,98","60,44","34,96","56,26","57,68","115,17","63,47",1991
130420 TEFE,"149,46","123,66","60,71","166,4","113,3","394,94","160,48",1991
130423 TONANTINS,"301,48","34,23","55,17","87,06","31,9","67,39","83,4",1991
130426 UARINI,"369,16",...,"1399,82","176,54","349,25","56,99","184,51",1991
130430 URUCARA,"753,05","77,59","111,28","157,78","56,44","135,17","159,02",1991
130440 URUCURITUBA,"58,39","117,11","143,17","64,87",...,"33,66","65,11",1991
140005 ALTO ALEGRE,"258,96","126,65",...,"138,1","50,89","89,15","153,21",1991
140010 BOA VISTA,"614,89","315,91","751,43","385,7","156,7","308,13","426,25",1991
140015 BONFIM,"339,2","129,18","121,1","194,85","120,92","85,64","168,55",1991
140020 CARACARAI,"714,11","132,21",...,"183,59","578,86","66,36","268,33",1991
140030 MUCAJAI,"307,05","226,33","193,11","180,55","76,41","39,71","188,76",1991
140040 NORMANDIA,"231,93","164,96",-,"93,5","21,5","46,97","59,5",1991
140050 SAO JOAO DA BALIZA,"183,37","114,75",...,"178,48","26,4",...,"176,39",1991
140060 SAO LUIZ,"181,08","90,03","54,18","197,73","209,88","178,1","189,08",1991
150010 ABAETETUBA,"160,93","103,85","848,37","121,21","172,41","68,28","130,59",1991
150020 ACARA,"372,07","191,56","2057,02","152,12",...,"118,35","177,03",1991
150030 AFUA,"169,44","77,55",...,"98,06",...,"120,57","105,84",1991
150040 ALENQUER,"144,32","108,47","30,41","97,72","40,78","81,27","107,32",1991
150050 ALMEIRIM,"605,96","134,7",...,"184,59",...,"434,62","233,18",1991
150060 ALTAMIRA,"278,96","176,78","932,31","188,41","42,76","163,86","212,82",1991
150070 ANAJAS,"143,27","102,69",...,"113,96",...,"107,59","116,26",1991
150080 ANANINDEUA,"352,54",256,"1679,51","208,32","140,27","68,83","239,89",1991
150090 AUGUSTO CORREA,"81,03","35,13",...,"73,14",-,...,"73,48",1991
150100 AVEIRO,"99,63","68,51","53,04","83,18","34,29","59,16","79,19",1991
