"Município";"População não alfabetizada"
"110001 ALTA FLORESTA D'OESTE";2132
"110002 ARIQUEMES";5136
"110003 CABIXI";648
"110004 CACOAL";4870
"110005 CEREJEIRAS";1325
"110006 COLORADO DO OESTE";1806
"110007 CORUMBIARA";765
"110008 COSTA MARQUES";816
"110009 ESPIGAO D'OESTE";1966
"110010 GUAJARA-MIRIM";2460
"110011 JARU";4001
"110012 JI-PARANA";6538
"110013 MACHADINHO D'OESTE";2759
"110014 NOVA BRASILANDIA D'OESTE";1612
"110015 OURO PRETO DO OESTE";2815
"110018 PIMENTA BUENO";1991
"110020 PORTO VELHO";16161
"110025 PRESIDENTE MEDICI";1925
"110026 RIO CRESPO";268
"110028 ROLIM DE MOURA";3367
"110029 SANTA LUZIA D'OESTE";894
"110030 VILHENA";3504
"110032 SAO MIGUEL DO GUAPORE";1586
"110033 NOVA MAMORE";1893
"110034 ALVORADA D'OESTE";1633
"110037 ALTO ALEGRE DOS PARECIS";1311
"110040 ALTO PARAISO";1623
"110045 BURITIS";2510
"110050 NOVO HORIZONTE DO OESTE";1094
"110060 CACAULANDIA";560
"110070 CAMPO NOVO DE RONDONIA";976
"110080 CANDEIAS DO JAMARI";1554
"110090 CASTANHEIRAS";347
"110092 CHUPINGUAIA";604
"110094 CUJUBIM";1376
"110100 GOVERNADOR JORGE TEIXEIRA";1080
"110110 ITAPUA DO OESTE";715
"110120 MINISTRO ANDREAZZA";891
"110130 MIRANTE DA SERRA";1117
"110140 MONTE NEGRO";1354
"110143 NOVA UNIAO";768
"110145 PARECIS";520
"110146 PIMENTEIRAS DO OESTE";140
"110147 PRIMAVERA DE RONDONIA";380
"110148 SAO FELIPE D'OESTE";760
"110149 SAO FRANCISCO DO GUAPORE";1015
"110150 SERINGUEIRAS";889
"110155 TEIXEIROPOLIS";428
"110160 THEOBROMA";1074
"110170 URUPA";1403
"110175 VALE DO ANARI";1023
"110180 VALE DO PARAISO";703
"120001 ACRELANDIA";1306
"120005 ASSIS BRASIL";792
"120010 BRASILEIA";2944
"120013 BUJARI";1392
"120017 CAPIXABA";1218
"120020 CRUZEIRO DO SUL";9297
"120025 EPITACIOLANDIA";1607
"120030 FEIJO";6974
"120032 JORDAO";848
"120033 MANCIO LIMA";2144
"120034 MANOEL URBANO";1501
"120035 MARECHAL THAUMATURGO";2601
"120038 PLACIDO DE CASTRO";2102
"120039 PORTO WALTER";1615
"120040 RIO BRANCO";20885
"120042 RODRIGUES ALVES";2577
"120043 SANTA ROSA DO PURUS";818
"120045 SENADOR GUIOMARD";2420
"120050 SENA MADUREIRA";5936
"120060 TARAUACA";6601
"120070 XAPURI";2217
"120080 PORTO ACRE";2147
"130002 ALVARAES";2108
"130006 AMATURA";1433
"130008 ANAMA";905
"130010 ANORI";1713
"130014 APUI";1380
"130020 ATALAIA DO NORTE";3519
"130030 AUTAZES";3009
"130040 BARCELOS";3282
"130050 BARREIRINHA";1352
"130060 BENJAMIN CONSTANT";4201
"130063 BERURI";2316
"130068 BOA VISTA DO RAMOS";550
"130070 BOCA DO ACRE";5217
"130080 BORBA";3288
"130083 CAAPIRANGA";985
"130090 CANUTAMA";2381
"130100 CARAUARI";4106
"130110 CAREIRO";2825
"130115 CAREIRO DA VARZEA";3129
"130120 COARI";8248
"130130 CODAJAS";2614
"130140 EIRUNEPE";5366
"130150 ENVIRA";3270
"130160 FONTE BOA";3417
"130165 GUAJARA";2739
"130170 HUMAITA";4535
"130180 IPIXUNA";4929
"130185 IRANDUBA";3110
"130190 ITACOATIARA";4949
"130195 ITAMARATI";1813
"130200 ITAPIRANGA";345
"130210 JAPURA";1272
"130220 JURUA";2026
"130230 JUTAI";2989
"130240 LABREA";6741
"130250 MANACAPURU";8172
"130255 MANAQUIRI";1750
"130260 MANAUS";50439
"130270 MANICORE";5335
"130280 MARAA";2333
"130290 MAUES";2933
"130300 NHAMUNDA";1043
"130310 NOVA OLINDA DO NORTE";1919
"130320 NOVO AIRAO";1686
"130330 NOVO ARIPUANA";2845
"130340 PARINTINS";3699
"130350 PAUINI";3269
"130353 PRESIDENTE FIGUEIREDO";1357
"130356 RIO PRETO DA EVA";2049
"130360 SANTA ISABEL DO RIO NEGRO";3814
"130370 SANTO ANTONIO DO ICA";3419
"130380 SAO GABRIEL DA CACHOEIRA";3876
"130390 SAO PAULO DE OLIVENCA";4666
"130395 SAO SEBASTIAO DO UATUMA";667
"130400 SILVES";286
"130406 TABATINGA";4431
"130410 TAPAUA";3602
"130420 TEFE";5187
"130423 TONANTINS";1864
"130426 UARINI";1255
"130430 URUCARA";896
"130440 URUCURITUBA";1052
"140002 AMAJARI";2096
"140005 ALTO ALEGRE";3763
"140010 BOA VISTA";11167
"140015 BONFIM";815
"140017 CANTA";1554
"140020 CARACARAI";1490
"140023 CAROEBE";696
"140028 IRACEMA";1594
"140030 MUCAJAI";1704
"140040 NORMANDIA";668
"140045 PACARAIMA";649
"140047 RORAINOPOLIS";2281
"140050 SAO JOAO DA BALIZA";515
"140060 SAO LUIZ";589
"140070 UIRAMUTA";1088
"150010 ABAETETUBA";12629
"150013 ABEL FIGUEIREDO";790
"150020 ACARA";7007
"150030 AFUA";5666
"150034 AGUA AZUL DO NORTE";2322
"150040 ALENQUER";5072
"150050 ALMEIRIM";2628
"150060 ALTAMIRA";8729
"150070 ANAJAS";4387
"150080 ANANINDEUA";11851
"150085 ANAPU";2489
"150090 AUGUSTO CORREA";5969
"150095 AURORA DO PARA";4189
"150100 AVEIRO";1268
"150110 BAGRE";2954
"150120 BAIAO";3277
"150125 BANNACH";351
"150130 BARCARENA";5494
"150140 BELEM";35300
"150145 BELTERRA";1245
"150150 BENEVIDES";2273
"150157 BOM JESUS DO TOCANTINS";2255
"150160 BONITO";2071
"150170 BRAGANCA";11689
"150172 BRASIL NOVO";2045
"150175 BREJO GRANDE DO ARAGUAIA";965
"150178 BREU BRANCO";6540
"150180 BREVES";14104
"150190 BUJARU";2397
"150195 CACHOEIRA DO PIRIA";5142
"150200 CACHOEIRA DO ARARI";2020
"150210 CAMETA";8120
"150215 CANAA DOS CARAJAS";1727
"150220 CAPANEMA";6375
"150230 CAPITAO POCO";8356
"150240 CASTANHAL";9344
"150250 CHAVES";3771
"150260 COLARES";823
"150270 CONCEICAO DO ARAGUAIA";4669
"150275 CONCORDIA DO PARA";3461
"150276 CUMARU DO NORTE";1577
"150277 CURIONOPOLIS";2350
"150280 CURRALINHO";3232
"150285 CURUA";1020
"150290 CURUCA";1983
"150293 DOM ELISEU";5680
"150295 ELDORADO DOS CARAJAS";4478
"150300 FARO";515
"150304 FLORESTA DO ARAGUAIA";2235
"150307 GARRAFAO DO NORTE";4540
"150309 GOIANESIA DO PARA";5012
"150310 GURUPA";3851
"150320 IGARAPE-ACU";4169
"150330 IGARAPE-MIRI";7147
"150340 INHANGAPI";1029
"150345 IPIXUNA DO PARA";8065
"150350 IRITUIA";3919
"150360 ITAITUBA";8871
"150370 ITUPIRANGA";7626
"150375 JACAREACANGA";1992
"150380 JACUNDA";5651
"150390 JURUTI";2716
"150400 LIMOEIRO DO AJURU";2212
"150405 MAE DO RIO";3191
"150410 MAGALHAES BARATA";635
"150420 MARABA";16872
