id,Município,População não alfabetizada,Ano
110001,ALTA FLORESTA D'OESTE,4130,1991
110002,ARIQUEMES,9313,1991
110003,CABIXI,1028,1991
110004,CACOAL,10367,1991
110005,CEREJEIRAS,2698,1991
110006,COLORADO DO OESTE,5895,1991
110008,COSTA MARQUES,1304,1991
110009,ESPIGAO D'OESTE,2776,1991
110010,GUAJARA-MIRIM,3002,1991
110011,JARU,9232,1991
110012,JI-PARANA,9697,1991
110013,MACHADINHO D'OESTE,2196,1991
110014,NOVA BRASILANDIA D'OESTE,2814,1991
110015,OURO PRETO DO OESTE,12326,1991
110018,PIMENTA BUENO,6022,1991
110020,PORTO VELHO,22446,1991
110025,PRESIDENTE MEDICI,4922,1991
110028,ROLIM DE MOURA,8321,1991
110029,SANTA LUZIA D'OESTE,1879,1991
110030,VILHENA,3269,1991
110032,SAO MIGUEL DO GUAPORE,2943,1991
110033,NOVA MAMORE,1350,1991
110034,ALVORADA D'OESTE,3149,1991
120005,ASSIS BRASIL,468,1991
120010,BRASILEIA,4254,1991
120020,CRUZEIRO DO SUL,14933,1991
120030,FEIJO,5207,1991
120033,MANCIO LIMA,2566,1991
120034,MANOEL URBANO,1581,1991
120038,PLACIDO DE CASTRO,3089,1991
120040,RIO BRANCO,25451,1991
120045,SENADOR GUIOMARD,3344,1991
120050,SENA MADUREIRA,6354,1991
120060,TARAUACA,8691,1991
120070,XAPURI,3323,1991
130002,ALVARAES,2010,1991
130006,AMATURA,1011,1991
130008,ANAMA,1050,1991
130010,ANORI,1919,1991
130014,APUI,966,1991
130020,ATALAIA DO NORTE,2638,1991
130030,AUTAZES,2484,1991
130040,BARCELOS,2333,1991
130050,BARREIRINHA,2054,1991
130060,BENJAMIN CONSTANT,3678,1991
130063,BERURI,1985,1991
130068,BOA VISTA DO RAMOS,912,1991
130070,BOCA DO ACRE,6820,1991
130080,BORBA,3359,1991
130083,CAAPIRANGA,1821,1991
130090,CANUTAMA,3396,1991
130100,CARAUARI,5847,1991
130110,CAREIRO,7676,1991
130115,CAREIRO DA VARZEA,3650,1991
130120,COARI,9210,1991
130130,CODAJAS,3167,1991
130140,EIRUNEPE,5714,1991
130150,ENVIRA,5645,1991
130160,FONTE BOA,4363,1991
130165,GUAJARA,4113,1991
130170,HUMAITA,9867,1991
130180,IPIXUNA,2970,1991
130185,IRANDUBA,2791,1991
130190,ITACOATIARA,6166,1991
130195,ITAMARATI,3754,1991
130200,ITAPIRANGA,364,1991
130210,JAPURA,3742,1991
130220,JURUA,1514,1991
130230,JUTAI,4620,1991
130240,LABREA,9352,1991
130250,MANACAPURU,9742,1991
130255,MANAQUIRI,2238,1991
130260,MANAUS,51815,1991
130270,MANICORE,8961,1991
130280,MARAA,2877,1991
130290,MAUES,3460,1991
130300,NHAMUNDA,1572,1991
130310,NOVA OLINDA DO NORTE,1942,1991
130320,NOVO AIRAO,2285,1991
130330,NOVO ARIPUANA,3075,1991
130340,PARINTINS,5377,1991
130350,PAUINI,7390,1991
130353,PRESIDENTE FIGUEIREDO,673,1991
130356,RIO PRETO DA EVA,907,1991
130360,SANTA ISABEL DO RIO NEGRO,3889,1991
130370,SANTO ANTONIO DO ICA,4812,1991
130380,SAO GABRIEL DA CACHOEIRA,3903,1991
130390,SAO PAULO DE OLIVENCA,2968,1991
130395,SAO SEBASTIAO DO UATUMA,370,1991
130400,SILVES,334,1991
130406,TABATINGA,4209,1991
130410,TAPAUA,8355,1991
130420,TEFE,8117,1991
130423,TONANTINS,1588,1991
130426,UARINI,894,1991
130430,URUCARA,1099,1991
130440,URUCURITUBA,1803,1991
140005,ALTO ALEGRE,1465,1991
140010,BOA VISTA,10024,1991
140015,BONFIM,2115,1991
140020,CARACARAI,1075,1991
140030,MUCAJAI,1915,1991
140040,NORMANDIA,2367,1991
140050,SAO JOAO DA BALIZA,1521,1991
140060,SAO LUIZ,1584,1991
150010,ABAETETUBA,16547,1991
150020,ACARA,8526,1991
150030,AFUA,4969,1991
150040,ALENQUER,7510,1991
150050,ALMEIRIM,4656,1991
150060,ALTAMIRA,11775,1991
150070,ANAJAS,4359,1991
150080,ANANINDEUA,6047,1991
150090,AUGUSTO CORREA,6414,1991
150100,AVEIRO,1581,1991
150110,BAGRE,2848,1991
150120,BAIAO,2737,1991
150130,BARCARENA,4894,1991
150140,BELEM,55679,1991
150150,BENEVIDES,6361,1991
150157,BOM JESUS DO TOCANTINS,3336,1991
150160,BONITO,2439,1991
150170,BRAGANCA,16659,1991
150175,BREJO GRANDE DO ARAGUAIA,2778,1991
150180,BREVES,17502,1991
150190,BUJARU,2658,1991
150200,CACHOEIRA DO ARARI,2183,1991
150210,CAMETA,10022,1991
150220,CAPANEMA,6938,1991
150230,CAPITAO POCO,11845,1991
150240,CASTANHAL,10496,1991
150250,CHAVES,3566,1991
150260,COLARES,1037,1991
150270,CONCEICAO DO ARAGUAIA,9555,1991
150275,CONCORDIA DO PARA,3333,1991
150277,CURIONOPOLIS,8330,1991
150280,CURRALINHO,3356,1991
150290,CURUCA,2722,1991
150293,DOM ELISEU,6002,1991
150300,FARO,1449,1991
150307,GARRAFAO DO NORTE,6175,1991
150310,GURUPA,4656,1991
150320,IGARAPE-ACU,4663,1991
150330,IGARAPE-MIRI,7219,1991
150340,INHANGAPI,1040,1991
150350,IRITUIA,5745,1991
150360,ITAITUBA,18833,1991
150370,ITUPIRANGA,9161,1991
150380,JACUNDA,8883,1991
150390,JURUTI,2504,1991
150400,LIMOEIRO DO AJURU,2487,1991
150405,MAE DO RIO,4757,1991
150410,MAGALHAES BARATA,702,1991
150420,MARABA,16300,1991
150430,MARACANA,2677,1991
150440,MARAPANIM,1873,1991
150445,MEDICILANDIA,5003,1991
150450,MELGACO,4759,1991
150460,MOCAJUBA,1920,1991
150470,MOJU,10153,1991
150480,MONTE ALEGRE,6166,1991
150490,MUANA,3113,1991
150500,NOVA TIMBOTEUA,1918,1991
150510,OBIDOS,5288,1991
150520,OEIRAS DO PARA,3713,1991
150530,ORIXIMINA,4274,1991
150540,OUREM,6882,1991
150543,OURILANDIA DO NORTE,4326,1991
150548,PACAJA,7925,1991
150550,PARAGOMINAS,14048,1991
150553,PARAUAPEBAS,7873,1991
150560,PEIXE-BOI,1028,1991
150570,PONTA DE PEDRAS,2174,1991
150580,PORTEL,8177,1991
150590,PORTO DE MOZ,4121,1991
150600,PRAINHA,4165,1991
150610,PRIMAVERA,3399,1991
150613,REDENCAO,8143,1991
150616,RIO MARIA,5566,1991
150618,RONDON DO PARA,7862,1991
150619,RUROPOLIS,3874,1991
150620,SALINOPOLIS,2422,1991
150630,SALVATERRA,1240,1991
150640,SANTA CRUZ DO ARARI,794,1991
150650,SANTA IZABEL DO PARA,3904,1991
150658,SANTA MARIA DAS BARREIRAS,1358,1991
150660,SANTA MARIA DO PARA,3848,1991
150670,SANTANA DO ARAGUAIA,2897,1991
150680,SANTAREM,25296,1991
150690,SANTAREM NOVO,605,1991
150700,SANTO ANTONIO DO TAUA,2399,1991
150710,SAO CAETANO DE ODIVELAS,2328,1991
150720,SAO DOMINGOS DO CAPIM,8857,1991
150730,SAO FELIX DO XINGU,3922,1991
150740,SAO FRANCISCO DO PARA,1452,1991
150745,SAO GERALDO DO ARAGUAIA,9377,1991
150747,SAO JOAO DE PIRABAS,3404,1991
150750,SAO JOAO DO ARAGUAIA,4709,1991
150760,SAO MIGUEL DO GUAMA,5464,1991
150770,SAO SEBASTIAO DA BOA VISTA,2124,1991
150780,SENADOR JOSE PORFIRIO,7080,1991
150790,SOURE,1731,1991
150795,TAILANDIA,3144,1991
150800,TOME-ACU,5551,1991
150808,TUCUMA,5076,1991
150810,TUCURUI,11542,1991
150815,URUARA,4693,1991
150820,VIGIA,3997,1991
150830,VISEU,12722,1991
150840,XINGUARA,7662,1991
160010,AMAPA,1151,1991
160020,CALCOENE,597,1991
160023,FERREIRA GOMES,275,1991
160027,LARANJAL DO JARI,3675,1991
160030,MACAPA,14093,1991
160040,MAZAGAO,1997,1991
160050,OIAPOQUE,751,1991
160060,SANTANA,6311,1991
160070,TARTARUGALZINHO,754,1991
170035,ALIANCA DO TOCANTINS,1040,1991
170040,ALMAS,1850,1991
170070,ALVORADA,1252,1991
170100,ANANAS,2463,1991
170110,APARECIDA DO RIO NEGRO,526,1991
170190,ARAGUACEMA,1288,1991
170200,ARAGUACU,2095,1991
170210,ARAGUAINA,15113,1991
170220,ARAGUATINS,6185,1991
170230,ARAPOEMA,2895,1991
170240,ARRAIAS,2806,1991
170255,AUGUSTINOPOLIS,2433,1991
170270,AURORA DO TOCANTINS,848,1991
170290,AXIXA DO TOCANTINS,2872,1991
170300,BABACULANDIA,2266,1991
170310,BARROLANDIA,1373,1991
170320,BERNARDO SAYAO,797,1991
170370,BREJINHO DE NAZARE,1295,1991
170380,BURITI DO TOCANTINS,1973,1991
170390,CASEARA,412,1991
170550,COLINAS DO TOCANTINS,3300,1991
170555,COMBINADO,901,1991
170560,CONCEICAO DO TOCANTINS,808,1991
170600,COUTO MAGALHAES,1161,1991
170610,CRISTALANDIA,2045,1991
170700,DIANOPOLIS,2367,1991
170710,DIVINOPOLIS DO TOCANTINS,1219,1991
170720,DOIS IRMAOS DO TOCANTINS,1078,1991
170730,DUERE,888,1991
170755,FATIMA,494,1991
170765,FIGUEIROPOLIS,1126,1991
170770,FILADELFIA,2425,1991
170820,FORMOSO DO ARAGUAIA,2572,1991
170830,GOIANORTE,696,1991
170900,GOIATINS,4725,1991
170930,GUARAI,3072,1991
170950,GURUPI,5833,1991
171050,ITACAJA,3069,1991
171070,ITAGUATINS,2594,1991
171110,ITAPORA DO TOCANTINS,635,1991
171240,LIZARDA,589,1991
171250,MARIANOPOLIS DO TOCANTINS,391,1991
171320,MIRACEMA DO TOCANTINS,3067,1991
171330,MIRANORTE,1725,1991
171360,MONTE DO CARMO,1210,1991
171420,NATIVIDADE,2069,1991
171430,NAZARE,1868,1991
171488,NOVA OLINDA,1510,1991
171500,NOVA ROSALANDIA,475,1991
171510,NOVO ACORDO,1029,1991
171575,PALMEIROPOLIS,1775,1991
171610,PARAISO DO TOCANTINS,3376,1991
171620,PARANA,2830,1991
171650,PEDRO AFONSO,2086,1991
171660,PEIXE,2472,1991
171665,PEQUIZEIRO,612,1991
171670,COLMEIA,1690,1991
171700,PINDORAMA DO TOCANTINS,869,1991
171750,PIUM,1576,1991
171780,PONTE ALTA DO BOM JESUS,1641,1991
171790,PONTE ALTA DO TOCANTINS,1330,1991
171800,PORTO ALEGRE DO TOCANTINS,414,1991
171820,PORTO NACIONAL,4687,1991
171830,PRAIA NORTE,1539,1991
171840,PRESIDENTE KENNEDY,1165,1991
171875,RIO SONO,1189,1991
171880,SAMPAIO,1480,1991
171890,SANTA ROSA DO TOCANTINS,864,1991
171900,SANTA TEREZA DO TOCANTINS,451,1991
172030,SAO SEBASTIAO DO TOCANTINS,1232,1991
172049,SAO VALERIO,774,1991
172065,SILVANOPOLIS,1140,1991
172080,SITIO NOVO DO TOCANTINS,1841,1991
172090,TAGUATINGA,2672,1991
172100,PALMAS,2184,1991
172110,TOCANTINIA,1078,1991
172120,TOCANTINOPOLIS,6228,1991
172208,WANDERLANDIA,1796,1991
172210,XAMBIOA,2021,1991
210005,ACAILANDIA,19432,1991
210010,AFONSO CUNHA,1390,1991
210020,ALCANTARA,5042,1991
210030,ALDEIAS ALTAS,7037,1991
210040,ALTAMIRA DO MARANHAO,6443,1991
210050,ALTO PARNAIBA,1854,1991
210060,AMARANTE DO MARANHAO,5889,1991
210070,ANAJATUBA,6074,1991
210080,ANAPURUS,3213,1991
210090,ARAIOSES,15588,1991
210095,ARAME,9958,1991
210100,ARARI,5761,1991
210110,AXIXA,1458,1991
210120,BACABAL,24033,1991
210130,BACURI,5085,1991
210140,BALSAS,8341,1991
210150,BARAO DE GRAJAU,4473,1991
210160,BARRA DO CORDA,24066,1991
210170,BARREIRINHAS,7014,1991
210180,BENEDITO LEITE,2467,1991
210190,BEQUIMAO,4617,1991
210200,BOM JARDIM,13720,1991
210210,BREJO,8707,1991
210220,BURITI,7049,1991
210230,BURITI BRAVO,5818,1991
210240,CAJAPIO,3999,1991
210250,CAJARI,3826,1991
210260,CANDIDO MENDES,7495,1991
210270,CANTANHEDE,8152,1991
210280,CAROLINA,4578,1991
210290,CARUTAPERA,7974,1991
210300,CAXIAS,40482,1991
210310,CEDRAL,2435,1991
210320,CHAPADINHA,14949,1991
210330,CODO,35020,1991
210340,COELHO NETO,10081,1991
210350,COLINAS,9735,1991
210360,COROATA,23611,1991
210370,CURURUPU,8206,1991
210380,DOM PEDRO,4683,1991
210390,DUQUE BACELAR,2237,1991
210400,ESPERANTINOPOLIS,9222,1991
210405,ESTREITO,4303,1991
210410,FORTALEZA DOS NOGUEIRAS,2338,1991
210420,FORTUNA,3944,1991
210430,GODOFREDO VIANA,6900,1991
210440,GONCALVES DIAS,5322,1991
210450,GOVERNADOR ARCHER,3204,1991
210460,GOVERNADOR EUGENIO BARROS,7749,1991
210470,GRACA ARANHA,1616,1991
210480,GRAJAU,13788,1991
210490,GUIMARAES,1539,1991
210500,HUMBERTO DE CAMPOS,4849,1991
210510,ICATU,5963,1991
210520,IGARAPE GRANDE,3835,1991
210530,IMPERATRIZ,44847,1991
210540,ITAPECURU MIRIM,11897,1991
210550,JOAO LISBOA,14472,1991
210560,JOSELANDIA,4326,1991
210570,LAGO DA PEDRA,15051,1991
210580,LAGO DO JUNCO,5335,1991
210590,LAGO VERDE,3851,1991
210600,LIMA CAMPOS,3667,1991
210610,LORETO,1710,1991
210620,LUIS DOMINGUES,1775,1991
210630,MAGALHAES DE ALMEIDA,3124,1991
210640,MATA ROMA,2816,1991
210650,MATINHA,3883,1991
210660,MATOES,8087,1991
210670,MIRADOR,4768,1991
210675,MIRANDA DO NORTE,3300,1991
210680,MIRINZAL,3629,1991
210690,MONCAO,6587,1991
210700,MONTES ALTOS,4989,1991
210710,MORROS,4988,1991
210720,NINA RODRIGUES,2124,1991
210730,NOVA IORQUE,1258,1991
210740,OLHO D'AGUA DAS CUNHAS,5106,1991
210750,PACO DO LUMIAR,4851,1991
210760,PALMEIRANDIA,4228,1991
210770,PARAIBANO,4378,1991
210780,PARNARAMA,10327,1991
210790,PASSAGEM FRANCA,6803,1991
210800,PASTOS BONS,3083,1991
210810,PAULO RAMOS,8375,1991
