"Município";"População de 15 anos ou mais"
"110001 ALTA FLORESTA D'OESTE";16915
"110002 ARIQUEMES";47162
"110003 CABIXI";5003
"110004 CACOAL";49360
"110005 CEREJEIRAS";12138
"110006 COLORADO DO OESTE";14689
"110007 CORUMBIARA";6663
"110008 COSTA MARQUES";6019
"110009 ESPIGAO D'OESTE";16789
"110010 GUAJARA-MIRIM";23708
"110011 JARU";35357
"110012 JI-PARANA";71283
"110013 MACHADINHO D'OESTE";14232
"110014 NOVA BRASILANDIA D'OESTE";10865
"110015 OURO PRETO DO OESTE";27149
"110018 PIMENTA BUENO";21183
"110020 PORTO VELHO";216998
"110025 PRESIDENTE MEDICI";17693
"110026 RIO CRESPO";1957
"110028 ROLIM DE MOURA";31518
"110029 SANTA LUZIA D'OESTE";7675
"110030 VILHENA";35643
"110032 SAO MIGUEL DO GUAPORE";14867
"110033 NOVA MAMORE";9130
"110034 ALVORADA D'OESTE";12905
"110037 ALTO ALEGRE DOS PARECIS";7971
"110040 ALTO PARAISO";7926
"110045 BURITIS";15564
"110050 NOVO HORIZONTE DO OESTE";7998
"110060 CACAULANDIA";3488
"110070 CAMPO NOVO DE RONDONIA";6963
"110080 CANDEIAS DO JAMARI";7888
"110090 CASTANHEIRAS";2736
"110092 CHUPINGUAIA";3474
"110094 CUJUBIM";4062
"110100 GOVERNADOR JORGE TEIXEIRA";7926
"110110 ITAPUA DO OESTE";4165
"110120 MINISTRO ANDREAZZA";7325
"110130 MIRANTE DA SERRA";8078
"110140 MONTE NEGRO";7677
"110143 NOVA UNIAO";5244
"110145 PARECIS";2122
"110146 PIMENTEIRAS DO OESTE";1557
"110147 PRIMAVERA DE RONDONIA";2845
"110148 SAO FELIPE D'OESTE";4647
"110149 SAO FRANCISCO DO GUAPORE";6783
"110150 SERINGUEIRAS";7065
"110155 TEIXEIROPOLIS";3686
"110160 THEOBROMA";6852
"110170 URUPA";9540
"110175 VALE DO ANARI";4787
"110180 VALE DO PARAISO";6383
"120001 ACRELANDIA";4616
"120005 ASSIS BRASIL";2017
"120010 BRASILEIA";10364
"120013 BUJARI";3400
"120017 CAPIXABA";3022
"120020 CRUZEIRO DO SUL";39239
"120025 EPITACIOLANDIA";6651
"120030 FEIJO";15128
"120032 JORDAO";1999
"120033 MANCIO LIMA";6121
"120034 MANOEL URBANO";3418
"120035 MARECHAL THAUMATURGO";4009
"120038 PLACIDO DE CASTRO";8992
"120039 PORTO WALTER";2719
"120040 RIO BRANCO";163722
"120042 RODRIGUES ALVES";4203
"120043 SANTA ROSA DO PURUS";1037
"120045 SENADOR GUIOMARD";12016
"120050 SENA MADUREIRA";17012
"120060 TARAUACA";14162
"120070 XAPURI";7229
"120080 PORTO ACRE";6743
"130002 ALVARAES";6144
"130006 AMATURA";3902
"130008 ANAMA";3593
"130010 ANORI";6329
"130014 APUI";7836
"130020 ATALAIA DO NORTE";5115
"130030 AUTAZES";13186
"130040 BARCELOS";11896
"130050 BARREIRINHA";11823
"130060 BENJAMIN CONSTANT";12681
"130063 BERURI";5598
"130068 BOA VISTA DO RAMOS";5543
"130070 BOCA DO ACRE";15734
"130080 BORBA";14908
"130083 CAAPIRANGA";4823
"130090 CANUTAMA";6050
"130100 CARAUARI";12175
"130110 CAREIRO";16261
"130115 CAREIRO DA VARZEA";10571
"130120 COARI";36179
"130130 CODAJAS";9327
"130140 EIRUNEPE";13902
"130150 ENVIRA";9430
"130160 FONTE BOA";16964
"130165 GUAJARA";6645
"130170 HUMAITA";18470
"130180 IPIXUNA";7155
"130185 IRANDUBA";18803
"130190 ITACOATIARA";42656
"130195 ITAMARATI";3867
"130200 ITAPIRANGA";4154
"130210 JAPURA";5157
"130220 JURUA";3410
"130230 JUTAI";10806
"130240 LABREA";15582
"130250 MANACAPURU";41261
"130255 MANAQUIRI";7440
"130260 MANAUS";931912
"130270 MANICORE";21026
"130280 MARAA";9133
"130290 MAUES";21860
"130300 NHAMUNDA";8383
"130310 NOVA OLINDA DO NORTE";12451
"130320 NOVO AIRAO";5403
"130330 NOVO ARIPUANA";8983
"130340 PARINTINS";51541
"130350 PAUINI";9001
"130353 PRESIDENTE FIGUEIREDO";9895
"130356 RIO PRETO DA EVA";10172
"130360 SANTA ISABEL DO RIO NEGRO";5821
"130370 SANTO ANTONIO DO ICA";13929
"130380 SAO GABRIEL DA CACHOEIRA";16989
"130390 SAO PAULO DE OLIVENCA";11366
"130395 SAO SEBASTIAO DO UATUMA";3892
"130400 SILVES";4245
"130406 TABATINGA";21069
"130410 TAPAUA";9315
"130420 TEFE";35668
"130423 TONANTINS";7865
"130426 UARINI";5156
"130430 URUCARA";10120
"130440 URUCURITUBA";6555
"140002 AMAJARI";2585
"140005 ALTO ALEGRE";10255
"140010 BOA VISTA";127216
"140015 BONFIM";5025
"140017 CANTA";4729
"140020 CARACARAI";7652
"140023 CAROEBE";3267
"140028 IRACEMA";2779
"140030 MUCAJAI";6372
"140040 NORMANDIA";3174
"140045 PACARAIMA";3635
"140047 RORAINOPOLIS";9705
"140050 SAO JOAO DA BALIZA";3009
"140060 SAO LUIZ";3219
"140070 UIRAMUTA";2717
"150010 ABAETETUBA";71431
"150013 ABEL FIGUEIREDO";3698
"150020 ACARA";29579
"150030 AFUA";15328
"150034 AGUA AZUL DO NORTE";13789
"150040 ALENQUER";23694
"150050 ALMEIRIM";19370
"150060 ALTAMIRA";48208
"150070 ANAJAS";8850
"150080 ANANINDEUA";265341
"150085 ANAPU";5302
"150090 AUGUSTO CORREA";18228
"150095 AURORA DO PARA";11006
"150100 AVEIRO";8291
"150110 BAGRE";6695
"150120 BAIAO";11585
"150125 BANNACH";2400
"150130 BARCARENA";38080
"150140 BELEM";911670
"150145 BELTERRA";8673
"150150 BENEVIDES";22379
"150157 BOM JESUS DO TOCANTINS";8127
"150160 BONITO";6021
"150170 BRAGANCA";56706
"150172 BRASIL NOVO";10705
"150175 BREJO GRANDE DO ARAGUAIA";4433
"150178 BREU BRANCO";18008
"150180 BREVES";42359
"150190 BUJARU";12508
"150195 CACHOEIRA DO PIRIA";8452
"150200 CACHOEIRA DO ARARI";9325
"150210 CAMETA";55334
"150215 CANAA DOS CARAJAS";6850
"150220 CAPANEMA";37319
"150230 CAPITAO POCO";29459
"150240 CASTANHAL";87747
"150250 CHAVES";9280
"150260 COLARES";6364
"150270 CONCEICAO DO ARAGUAIA";27457
"150275 CONCORDIA DO PARA";12042
"150276 CUMARU DO NORTE";3057
"150277 CURIONOPOLIS";11513
"150280 CURRALINHO";10244
"150285 CURUA";5034
"150290 CURUCA";15927
"150293 DOM ELISEU";23439
"150295 ELDORADO DOS CARAJAS";16811
"150300 FARO";5277
"150304 FLORESTA DO ARAGUAIA";8640
"150307 GARRAFAO DO NORTE";12768
"150309 GOIANESIA DO PARA";13370
"150310 GURUPA";12024
"150320 IGARAPE-ACU";19991
"150330 IGARAPE-MIRI";30499
"150340 INHANGAPI";4555
"150345 IPIXUNA DO PARA";14124
"150350 IRITUIA";18764
"150360 ITAITUBA";56290
"150370 ITUPIRANGA";28281
"150375 JACAREACANGA";10995
"150380 JACUNDA";25078
"150390 JURUTI";16575
"150400 LIMOEIRO DO AJURU";10554
"150405 MAE DO RIO";15605
"150410 MAGALHAES BARATA";4655
"150420 MARABA";103735
"150430 MARACANA";15836
"150440 MARAPANIM";14683
"150442 MARITUBA";47277
"150445 MEDICILANDIA";12604
"150450 MELGACO";10292
"150460 MOCAJUBA";11640
"150470 MOJU";29343
"150480 MONTE ALEGRE";35919
"150490 MUANA";14745
"150495 NOVA ESPERANCA DO PIRIA";9690
"150497 NOVA IPIXUNA";7110
"150500 NOVA TIMBOTEUA";7553
"150503 NOVO PROGRESSO";15405
"150506 NOVO REPARTIMENTO";23436
"150510 OBIDOS";27901
"150520 OEIRAS DO PARA";12227
"150530 ORIXIMINA";28166
"150540 OUREM";8553
"150543 OURILANDIA DO NORTE";12023
"150548 PACAJA";15454
"150549 PALESTINA DO PARA";4585
"150550 PARAGOMINAS";45523
"150553 PARAUAPEBAS";43085
"150555 PAU D'ARCO";4367
"150560 PEIXE-BOI";4983
"150563 PICARRA";7493
"150565 PLACAS";7857
"150570 PONTA DE PEDRAS";11154
"150580 PORTEL";19009
"150590 PORTO DE MOZ";11980
"150600 PRAINHA";13967
"150610 PRIMAVERA";5778
"150611 QUATIPURU";6523
"150613 REDENCAO";40282
"150616 RIO MARIA";11367
"150618 RONDON DO PARA";25047
"150619 RUROPOLIS";14377
"150620 SALINOPOLIS";19971
"150630 SALVATERRA";8890
"150635 SANTA BARBARA DO PARA";6987
"150640 SANTA CRUZ DO ARARI";3369
"150650 SANTA IZABEL DO PARA";26669
"150655 SANTA LUZIA DO PARA";11008
"150658 SANTA MARIA DAS BARREIRAS";6119
"150660 SANTA MARIA DO PARA";13473
"150670 SANTANA DO ARAGUAIA";19219
"150680 SANTAREM";163082
"150690 SANTAREM NOVO";3147
"150700 SANTO ANTONIO DO TAUA";12254
"150710 SAO CAETANO DE ODIVELAS";9392
"150715 SAO DOMINGOS DO ARAGUAIA";11769
"150720 SAO DOMINGOS DO CAPIM";15055
"150730 SAO FELIX DO XINGU";20302
"150740 SAO FRANCISCO DO PARA";9147
"150745 SAO GERALDO DO ARAGUAIA";16818
"150746 SAO JOAO DA PONTA";2326
"150747 SAO JOAO DE PIRABAS";10261
"150750 SAO JOAO DO ARAGUAIA";7023
"150760 SAO MIGUEL DO GUAMA";25018
"150770 SAO SEBASTIAO DA BOA VISTA";9869
"150775 SAPUCAIA";2338
"150780 SENADOR JOSE PORFIRIO";8326
"150790 SOURE";12376
"150795 TAILANDIA";21487
"150796 TERRA ALTA";4943
"150797 TERRA SANTA";8589
"150800 TOME-ACU";27433
