id,Município,População de 15 anos ou mais,Ano
110001,ALTA FLORESTA D'OESTE,18810,1991
110002,ARIQUEMES,49837,1991
110003,CABIXI,4785,1991
110004,CACOAL,47802,1991
110005,CEREJEIRAS,12978,1991
110006,COLORADO DO OESTE,22727,1991
110008,COSTA MARQUES,5663,1991
110009,ESPIGAO D'OESTE,13627,1991
110010,GUAJARA-MIRIM,18971,1991
110011,JARU,36797,1991
110012,JI-PARANA,58971,1991
110013,MACHADINHO D'OESTE,9466,1991
110014,NOVA BRASILANDIA D'OESTE,9374,1991
110015,OURO PRETO DO OESTE,48327,1991
110018,PIMENTA BUENO,28795,1991
110020,PORTO VELHO,170290,1991
110025,PRESIDENTE MEDICI,17681,1991
110028,ROLIM DE MOURA,35847,1991
110029,SANTA LUZIA D'OESTE,7276,1991
110030,VILHENA,24040,1991
110032,SAO MIGUEL DO GUAPORE,10796,1991
110033,NOVA MAMORE,4004,1991
110034,ALVORADA D'OESTE,12035,1991
120005,ASSIS BRASIL,1549,1991
120010,BRASILEIA,11541,1991
120020,CRUZEIRO DO SUL,33180,1991
120030,FEIJO,8921,1991
120033,MANCIO LIMA,5000,1991
120034,MANOEL URBANO,2591,1991
120038,PLACIDO DE CASTRO,8405,1991
120040,RIO BRANCO,117282,1991
120045,SENADOR GUIOMARD,9711,1991
120050,SENA MADUREIRA,12270,1991
120060,TARAUACA,13617,1991
120070,XAPURI,7062,1991
130002,ALVARAES,4317,1991
130006,AMATURA,2377,1991
130008,ANAMA,2977,1991
130010,ANORI,4310,1991
130014,APUI,3031,1991
130020,ATALAIA DO NORTE,3872,1991
130030,AUTAZES,8271,1991
130040,BARCELOS,5743,1991
130050,BARREIRINHA,8546,1991
130060,BENJAMIN CONSTANT,8558,1991
130063,BERURI,3493,1991
130068,BOA VISTA DO RAMOS,3672,1991
130070,BOCA DO ACRE,12643,1991
130080,BORBA,8659,1991
130083,CAAPIRANGA,3886,1991
130090,CANUTAMA,5448,1991
130100,CARAUARI,9065,1991
130110,CAREIRO,14893,1991
130115,CAREIRO DA VARZEA,10188,1991
130120,COARI,19813,1991
130130,CODAJAS,6483,1991
130140,EIRUNEPE,9831,1991
130150,ENVIRA,7233,1991
130160,FONTE BOA,8212,1991
130165,GUAJARA,6521,1991
130170,HUMAITA,19422,1991
130180,IPIXUNA,4524,1991
130185,IRANDUBA,9995,1991
130190,ITACOATIARA,31485,1991
130195,ITAMARATI,4357,1991
130200,ITAPIRANGA,2687,1991
130210,JAPURA,5135,1991
130220,JURUA,2426,1991
130230,JUTAI,7313,1991
130240,LABREA,16009,1991
130250,MANACAPURU,28180,1991
130255,MANAQUIRI,5550,1991
130260,MANAUS,612139,1991
130270,MANICORE,18967,1991
130280,MARAA,5263,1991
130290,MAUES,15571,1991
130300,NHAMUNDA,6550,1991
130310,NOVA OLINDA DO NORTE,6619,1991
130320,NOVO AIRAO,6801,1991
130330,NOVO ARIPUANA,5941,1991
130340,PARINTINS,30660,1991
130350,PAUINI,8990,1991
130353,PRESIDENTE FIGUEIREDO,3659,1991
130356,RIO PRETO DA EVA,3145,1991
130360,SANTA ISABEL DO RIO NEGRO,8664,1991
130370,SANTO ANTONIO DO ICA,8748,1991
130380,SAO GABRIEL DA CACHOEIRA,13227,1991
130390,SAO PAULO DE OLIVENCA,6906,1991
130395,SAO SEBASTIAO DO UATUMA,2161,1991
130400,SILVES,2864,1991
130406,TABATINGA,14578,1991
130410,TAPAUA,11755,1991
130420,TEFE,26279,1991
130423,TONANTINS,4943,1991
130426,UARINI,2498,1991
130430,URUCARA,5794,1991
130440,URUCURITUBA,8424,1991
140005,ALTO ALEGRE,4295,1991
140010,BOA VISTA,76326,1991
140015,BONFIM,5467,1991
140020,CARACARAI,3803,1991
140030,MUCAJAI,5983,1991
140040,NORMANDIA,5208,1991
140050,SAO JOAO DA BALIZA,4580,1991
140060,SAO LUIZ,4560,1991
150010,ABAETETUBA,53557,1991
150020,ACARA,18997,1991
150030,AFUA,9409,1991
150040,ALENQUER,26833,1991
150050,ALMEIRIM,16547,1991
150060,ALTAMIRA,38990,1991
150070,ANAJAS,6714,1991
150080,ANANINDEUA,51911,1991
150090,AUGUSTO CORREA,15322,1991
150100,AVEIRO,5604,1991
150110,BAGRE,6609,1991
150120,BAIAO,10481,1991
150130,BARCARENA,24914,1991
150140,BELEM,814646,1991
150150,BENEVIDES,39203,1991
150157,BOM JESUS DO TOCANTINS,8760,1991
150160,BONITO,4554,1991
150170,BRAGANCA,51885,1991
150175,BREJO GRANDE DO ARAGUAIA,6361,1991
150180,BREVES,36148,1991
150190,BUJARU,7703,1991
150200,CACHOEIRA DO ARARI,7127,1991
150210,CAMETA,43663,1991
150220,CAPANEMA,30017,1991
150230,CAPITAO POCO,23818,1991
150240,CASTANHAL,60166,1991
150250,CHAVES,8908,1991
150260,COLARES,4419,1991
150270,CONCEICAO DO ARAGUAIA,31286,1991
150275,CONCORDIA DO PARA,8183,1991
150277,CURIONOPOLIS,21031,1991
150280,CURRALINHO,7361,1991
150290,CURUCA,14243,1991
150293,DOM ELISEU,13482,1991
150300,FARO,7056,1991
150307,GARRAFAO DO NORTE,10315,1991
150310,GURUPA,9458,1991
150320,IGARAPE-ACU,15020,1991
150330,IGARAPE-MIRI,21595,1991
150340,INHANGAPI,3501,1991
150350,IRITUIA,16231,1991
150360,ITAITUBA,59459,1991
150370,ITUPIRANGA,19459,1991
150380,JACUNDA,22578,1991
150390,JURUTI,11020,1991
150400,LIMOEIRO DO AJURU,8345,1991
150405,MAE DO RIO,15477,1991
150410,MAGALHAES BARATA,3800,1991
150420,MARABA,68545,1991
150430,MARACANA,13442,1991
150440,MARAPANIM,10888,1991
150445,MEDICILANDIA,16722,1991
150450,MELGACO,6712,1991
150460,MOCAJUBA,9593,1991
150470,MOJU,23049,1991
150480,MONTE ALEGRE,24783,1991
150490,MUANA,11690,1991
150500,NOVA TIMBOTEUA,5534,1991
150510,OBIDOS,22205,1991
150520,OEIRAS DO PARA,9105,1991
150530,ORIXIMINA,21348,1991
150540,OUREM,16086,1991
